Year,Female,Male
2000,21.4,13.625
2001,20.7,14.65
2002,22.21666666666667,16.7
2003,21.342857142857145,18.085714285714285
2004,23.071428571428573,18.766666666666666
2005,20.814285714285717,19.683333333333334
2006,21.7,16.3
2007,18.683333333333334,17.98
2008,22.8,15.02
2009,21.52857142857143,22.099999999999998
2010,21.12857142857143,23.657142857142855
2011,20.61428571428571,19.771428571428572
2012,21.728571428571428,18.58571428571429
2013,21.657142857142855,20.642857142857142
2014,21.87142857142857,17.085714285714282
