Year,African-American,Caucasian,Hispanic,Other
2000,62.457142857142856,74.39999999999999,70.47142857142858,56.07142857142857
2001,60.814285714285724,73.07142857142857,70.0,55.74285714285714
2002,60.41428571428571,72.04285714285713,69.08571428571427,55.82857142857142
2003,58.885714285714286,70.64285714285714,66.32857142857144,52.800000000000004
2004,59.17142857142857,70.08571428571429,66.2,53.371428571428574
2005,59.728571428571435,69.72857142857143,65.4142857142857,51.58571428571428
2006,60.228571428571435,69.9,66.45714285714286,48.714285714285715
2007,58.37142857142857,68.75714285714287,65.95714285714287,50.35714285714287
2008,57.55714285714286,68.64285714285714,65.42857142857143,50.08571428571428
2009,55.728571428571435,66.72857142857141,63.39999999999999,46.34285714285714
2010,55.51428571428572,64.77142857142856,60.971428571428575,45.85714285714285
2011,54.542857142857144,64.22857142857143,60.42857142857143,46.15714285714285
2012,55.542857142857144,64.11428571428571,61.057142857142864,44.24285714285714
2013,55.58571428571429,64.11428571428571,61.28571428571429,46.45714285714286
